Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,732,746.1,724.6,736.7,2259100,736.7
2015-04-07,740,744.7,722.4,728.5,1569900,728.5
2015-04-06,714,739.1,711.55,735.65,2457900,735.65
2015-04-03,709.6,709.6,709.6,709.6,0,709.6
2015-04-02,709.6,709.6,709.6,709.6,0,709.6
2015-04-01,714,716.5,703.85,709.6,1693700,709.6
2015-03-31,705,717.7,700.25,712.45,2267300,712.45
2015-03-30,695.1,710.95,695.1,702.2,1612700,702.2
2015-03-27,707,709,687.2,694,2072800,694
2015-03-26,710.5,717.25,697.1,700.95,2634900,700.95
2015-03-25,714.4,718.45,706.3,711.45,1175000,711.45
2015-03-24,700.75,713.95,698.5,710.25,976800,710.25
2015-03-23,703.5,712.3,694,701.3,825700,701.3
2015-03-20,713.85,718.4,693.75,699.8,1874400,699.8
2015-03-19,716,726.8,705.6,710.35,1697300,710.35
2015-03-18,714,720.8,708.05,711.95,1470000,711.95
2015-03-17,698.4,716,696.65,710.55,1832500,710.55
2015-03-16,706.15,707.8,683.6,693.65,2758200,693.65
2015-03-13,725,727.65,701.1,703.85,1031900,703.85
2015-03-12,719.15,728,711,720.2,1970500,720.2
2015-03-11,734,737.45,712.4,717.7,1656500,717.7
2015-03-10,740,752.85,725,729.45,2224000,729.45
2015-03-09,739.5,742.5,730.05,734.2,886800,734.2
2015-03-06,739.5,739.5,739.5,739.5,0,739.5
2015-03-05,730,746.4,725,739.5,1863500,739.5
2015-03-04,736,747.5,722,727.05,1975700,727.05
2015-03-03,720,738.7,715.1,731.9,2346000,731.9
2015-03-02,683.55,725,681.35,716.95,2226800,716.95
2015-02-27,662.4,677,655.4,669.85,1632800,669.85
2015-02-26,680.5,682.45,656.15,659.45,1754600,659.45
2015-02-25,679.55,685.2,671.45,676.35,865000,676.35
2015-02-24,673,679.6,670,677.3,745500,677.3
2015-02-23,678,684.35,666,669.15,1030300,669.15
2015-02-20,686.2,690,673.55,675.95,1323900,675.95
2015-02-19,683,692,672.1,682.45,1803100,682.45
2015-02-18,672.7,684,667.55,677.65,975300,677.65
2015-02-17,671.55,671.55,671.55,671.55,0,671.55
2015-02-16,670.3,678.9,668,671.55,1056600,671.55
2015-02-13,661,701.85,659,667.25,6373100,667.25
2015-02-12,641,665.55,633.05,660.65,4022000,660.65
2015-02-11,640.15,640.8,631.05,636.45,1671800,636.45
2015-02-10,630,642.8,623.45,640.15,1834800,640.15
2015-02-09,650,656,626.25,629.65,1213100,629.65
2015-02-06,672,682.7,645.65,655.05,1572300,655.05
2015-02-05,676.55,676.55,657.25,662.4,913000,662.4
2015-02-04,680.4,688,666.6,678,1326100,678
2015-02-03,695.15,699.75,672.05,677.4,772700,677.4
2015-02-02,698,706.5,691.25,695.5,878700,695.5
2015-01-30,699,702.8,691.2,695.75,1061900,695.75
2015-01-29,699.95,711.9,686.5,697.45,2245900,697.45
2015-01-28,706.9,707,692.55,703.55,1379600,703.55
2015-01-27,687,710,683,707.05,2067800,707.05
2015-01-26,677.65,677.65,677.65,677.65,0,677.65
2015-01-23,659.9,686.5,654.6,677.65,2255900,677.65
2015-01-22,643.5,657.2,641.35,654.8,1642200,654.8
2015-01-21,663,663.85,641,643.45,1541800,643.45
2015-01-20,661.95,666.45,657.35,661.8,1537600,661.8
2015-01-19,652,661.55,649,657.8,1536400,657.8
2015-01-16,641.7,650,639,647.35,1245700,647.35
2015-01-15,638.9,640,632.6,638.05,1229100,638.05
2015-01-14,638.8,641.85,629.05,631.4,1033600,631.4
2015-01-13,631,645.3,628.2,636.4,1261400,636.4
2015-01-12,630.9,637,625.95,630.75,1094100,630.75
2015-01-09,624,641.5,621,632.35,2151600,632.35
2015-01-08,615,621.5,612,618.2,1273000,618.2
2015-01-07,614.35,617.8,604.5,611.95,813900,611.95
2015-01-06,631,632,610.5,614.35,1615400,614.35
2015-01-05,626,638,626,633,1282800,633
2015-01-02,633,637.55,629.35,630.15,688900,630.15
2015-01-01,626.5,634.8,626.5,628.4,596700,628.4
2014-12-31,625,629.2,624,626.4,789100,626.4
2014-12-30,624.5,628.85,621.35,625.25,481900,625.25
2014-12-29,623.25,632.4,618.6,622.85,686800,622.85
2014-12-26,626,629.8,619.4,622.8,525600,622.8
2014-12-25,625.1,625.1,625.1,625.1,0,625.1
2014-12-24,635.1,636.45,622,625.1,2697400,625.1
2014-12-23,619.5,633.9,612.55,630.1,1378700,630.1
2014-12-22,621.1,622.8,614,618.25,751600,618.25
2014-12-19,632,634.45,616.85,618.95,1260100,618.95
2014-12-18,609,629,609,625.35,1579300,625.35
2014-12-17,618,619.7,597.8,605.5,2116300,605.5
2014-12-16,630,631.3,616.9,623.4,1512100,623.4
2014-12-15,641,643.85,623.35,632.1,1055600,632.1
