Date,Open,High,Low,Close,Volume,Adj Close
2015-04-08,1656.3,1676.85,1630.25,1636.2,301000,1636.2
2015-04-07,1621.4,1655.4,1603.8,1653.35,387600,1653.35
2015-04-06,1588,1629.95,1582.05,1617.4,326400,1617.4
2015-04-03,1585.9,1585.9,1585.9,1585.9,0,1585.9
2015-04-02,1585.9,1585.9,1585.9,1585.9,0,1585.9
2015-04-01,1563.7,1591.3,1553.2,1585.9,176000,1585.9
2015-03-31,1590.2,1594.9,1555.05,1562.75,217200,1562.75
2015-03-30,1554,1594.7,1550.1,1582.65,238100,1582.65
2015-03-27,1585.25,1596.75,1538,1549.45,224800,1549.45
2015-03-26,1565.5,1590.7,1553.5,1579.55,691500,1579.55
2015-03-25,1589.9,1596.8,1571.5,1581.7,165400,1581.7
2015-03-24,1585,1604,1574.7,1583.05,211800,1583.05
2015-03-23,1570.5,1593.4,1549.1,1586.75,170300,1586.75
2015-03-20,1572.4,1588,1548.1,1569.75,273600,1569.75
2015-03-19,1592.4,1610,1563.1,1568.5,217300,1568.5
2015-03-18,1622,1628.95,1579,1583.35,334900,1583.35
2015-03-17,1591.05,1619,1574.95,1613,303900,1613
2015-03-16,1621,1621,1581.05,1587.55,209600,1587.55
2015-03-13,1658.9,1664.05,1615,1616,405200,1616
2015-03-12,1626.8,1659.9,1621.25,1648,291800,1648
2015-03-11,1650,1669,1630.2,1639.7,261000,1620.7
2015-03-10,1661,1677,1633,1650.15,274700,1631.03
2015-03-09,1686,1689.8,1647.3,1660.1,202400,1640.86
2015-03-06,1698.65,1698.65,1698.65,1698.65,0,1678.97
2015-03-05,1725.6,1729,1675,1698.65,606800,1678.97
2015-03-04,1765,1774.65,1715,1725.15,423100,1705.16
2015-03-03,1764,1773.9,1747.55,1758.3,466300,1737.93
2015-03-02,1680,1774.3,1678.2,1762.8,937300,1742.37
2015-02-27,1648,1705,1641,1673.45,2276500,1654.06
2015-02-26,1658.1,1664,1620,1639.9,466600,1620.9
2015-02-25,1626.2,1672,1614.1,1655.75,391700,1636.56
2015-02-24,1617.8,1634.5,1602.7,1618,226900,1599.25
2015-02-23,1628,1634.95,1609,1615.95,304400,1597.23
2015-02-20,1623.4,1625.15,1600,1620.4,288900,1601.62
2015-02-19,1662.4,1665,1602.7,1615.15,337600,1596.43
2015-02-18,1614.7,1658.7,1611.1,1653.3,471400,1634.14
2015-02-17,1614.45,1614.45,1614.45,1614.45,0,1595.74
2015-02-16,1632.4,1645,1605.1,1614.45,327800,1595.74
2015-02-13,1608,1637.55,1605,1625.05,542300,1606.22
2015-02-12,1567.45,1614.3,1560.65,1595.2,875300,1576.72
2015-02-11,1567,1574.8,1546.3,1552.6,489800,1534.61
2015-02-10,1502.9,1567.8,1492.8,1562.65,582000,1544.54
2015-02-09,1501.45,1515.5,1489.55,1508.85,263200,1491.37
2015-02-06,1503,1525,1481.45,1507.2,275000,1489.74
2015-02-05,1494,1530,1487,1504.55,557400,1487.12
2015-02-04,1511.95,1523.6,1490,1495.85,330100,1478.52
2015-02-03,1529.7,1570.5,1499.4,1508.6,1341300,1491.12
2015-02-02,1554.9,1556.7,1513.15,1524.95,246300,1507.28
2015-01-30,1595,1595,1538.1,1560.45,388800,1542.37
2015-01-29,1544.9,1590,1535.3,1582.95,631000,1564.61
2015-01-28,1527.45,1555,1515.55,1543.8,375700,1525.91
2015-01-27,1540.15,1545.05,1503.65,1528.7,594800,1510.99
2015-01-26,1542.05,1542.05,1542.05,1542.05,0,1524.18
2015-01-23,1569,1569,1532.05,1542.05,426900,1524.18
